ttle,year,year,certificate,duration,genre,genre 2,genre 3,stars,votes,description,rating
Cable Grls,2017,20172020,TVMA,,Drama,,,"['Antono Hernández', '| ', '    Stars:', 'Blanca Suárez, ', 'Yon González, ', 'Ana Fernández, ', 'Nada de Santago']",84,"The drug MDMA is disturbingly popular in the UK, where dealers smuggle it into music festivals and raves for eager customers.",6.8
Cable Grls,2017,20172020,TVMA,,Drama,,,"['Antono Hernández', '| ', '    Stars:', 'Blanca Suárez, ', 'Yon González, ', 'Ana Fernández, ', 'Nada de Santago']",77,"Months before a public scandal, Kevin Hart offers a glimpse into his ambitious schedule and remembers the woman responsible for his grueling work ethic.",6.5
Cable Grls,2017,20172020,TVMA,,Drama,,,"['Gustavo Ron', '| ', '    Stars:', 'Blanca Suárez, ', 'Yon González, ', 'Ana Fernández, ', 'Nada de Santago']",83,Add a Plot,6.5
Cable Grls,2017,20172020,TVMA,,Drama,,,"['Carlos Sedes', '| ', '    Stars:', 'Blanca Suárez, ', 'Yon González, ', 'Ana Fernández, ', 'Nada de Santago']",163,Add a Plot,6.5
nventng Anna,2022,2022,TVMA,65 mn,Drama,,,"['Davd Frankel', '| ', '    Stars:', 'Anna Chlumsky, ', 'Jula Garner, ', 'Aran Moayed, ', 'Kate Lowes']","1,300",Add a Plot,6.4
nventng Anna,2022,2022,TVMA,68 mn,Drama,,,"['Tom Verca', '| ', '    Stars:', 'Anna Chlumsky, ', 'Jula Garner, ', 'Aran Moayed, ', 'Kate Lowes']","1,081",Add a Plot,6.6
nventng Anna,2022,2022,TVMA,65 mn,Drama,,,"['Dasy von Scherler Mayer', '| ', '    Stars:', 'Anna Chlumsky, ', 'Jula Garner, ', 'Aran Moayed, ', 'Kate Lowes']",946,Add a Plot,6.6
nventng Anna,2022,2022,TVMA,59 mn,Drama,,,"['Davd Frankel', '| ', '    Stars:', 'Anna Chlumsky, ', 'Jula Garner, ', 'Aran Moayed, ', 'Kate Lowes']",945,The invasion seems to be succeeding until Aang learns that their arrival was anticipated. Zuko confronts his father.,9.4
nventng Anna,2022,2022,TVMA,75 mn,Drama,,,"['Ellen Kuras', '| ', '    Stars:', 'Anna Chlumsky, ', 'Jula Garner, ', 'Aran Moayed, ', 'Kate Lowes']",913,"Haruo realizes how much Akira means to him and visits Miyao to confirm it. To prove himself, he invites Akira to join him at a tournament in Osaka.",7.4
nventng Anna,2022,2022,TVMA,60 mn,Drama,,,"['Nzngha Stewart', '| ', '    Stars:', 'Anna Chlumsky, ', 'Jula Garner, ', 'Aran Moayed, ', 'Kate Lowes']",936,The Pierces fear for Jennifer's life.,7.2
nventng Anna,2022,2022,TVMA,60 mn,Drama,,,"['Nzngha Stewart', '| ', '    Stars:', 'Anna Chlumsky, ', 'Jula Garner, ', 'Aran Moayed, ', 'Kate Lowes']",869,"A shocking online video brings together a widespread internet group of animal lovers out for justice. Their target, meanwhile, has more horrors planned.",8.3
nventng Anna,2022,2022,TVMA,73 mn,Drama,,,"['Tom Verca', '| ', '    Stars:', 'Anna Chlumsky, ', 'Jula Garner, ', 'Aran Moayed, ', 'Kate Lowes']",922,"A new video pushes panic go to the next level, galvanizing the ""internet nerds"" to intensify their own painstaking investigation as police join the hunt.",8.3
nventng Anna,2022,2022,TVMA,83 mn,Drama,,,"['Ellen Kuras', '| ', '    Stars:', 'Anna Chlumsky, ', 'Jula Garner, ', 'Aran Moayed, ', 'Kate Lowes']",916,"With the killer's identity  and twisted motives  revealed, the group finds more key clues as the global police manhunt reaches a fever pitch.",8.2
Dynasty,2017,20172022,TVPG,42 mn,Drama,,,"['Geoffrey Wng Shotz', '| ', '    Stars:', 'Elzabeth Glles, ', 'Danella Alonso, ', 'Rafael de la Fuente, ', 'Sam Underwood']",424,"While Ash travels with his Mother and Professor Oak, Go awaits a special encounter with a legendary Pokemon. Little do these two boys know, their first adventure together is about to begin.",7.9
Pokémon,1997,1997,TVY7FV,25 mn,Anmaton, Acton, Adventure,"['Sarah Natochenny, ', 'Zeno Robnson, ', 'James Carter Cathcart, ', 'Cheram Legh']",191,Duggee arranges for the Squirrels to write to some pen pals.,
The Dragon Prnce,2018,2018,TVY7,,Anmaton, Acton, Adventure,"['Vllads Spangsberg', '| ', '    Stars:', 'Racquel Belmonte, ', 'Paula Burrows, ', 'Jack De Sena, ', 'Erk Dellums']",528,Blake's trial continues as Alexis shocks the jury with her testimony; Fallon returns to the courthouse to find her mother has returned.,8
Hgh Seas,2019,20192020,TVMA,,Crme, Drama, Mystery,"['Lno Escalera', '| ', '    Stars:', 'vana Baquero, ', 'Jon Kortajarena, ', 'Alejandra Oneva, ', 'Eloy Azorín']",120,Rolling Stones member Ronnie Wood is the Star In A Reasonably Priced Car. The team test the Lexus LS600's automatic parking system. Jeremy squeezes his body into a Peel P50 and drives it ...                See full summary »,8.3
Hgh Seas,2019,20192020,TVMA,,Crme, Drama, Mystery,"['Lno Escalera', '| ', '    Stars:', 'vana Baquero, ', 'Jon Kortajarena, ', 'Alejandra Oneva, ', 'Eloy Azorín']",104,Zuko makes a decision about his future. Aang reunites with many of his old friends in a fullscale invasion of the Fire Nation capitol to coincide with an eclipse which will remove the Fire Nation's powers.,9.1
Vagabond,2019,2019,,,Acton, Mystery, Thrller,"['Yu nsk', '| ', '    Stars:', 'Lee Seungg, ', 'Bae Suzy, ', 'Seongrok Sn, ', 'Moon JeongHee']",122,"The boys adopt Sunny's getrichquick strategy. Anas looks to break a story in the paper. As Sunny's confidence grows, Brajesh visits him and Gudiya.",7.1
The Stranded,2019,2019,TVMA,46 mn,Adventure, Drama, Mystery,"['Sophon Sakdaphst', '| ', '    Stars:', 'Papangkorn Lerkchaleampote, ', 'Chutawut Phatrakampol, ', 'Oabnth Wwattanawarang, ', 'Chayant Chansangavej']",53,Johnny discovers a gap in free candy giving holidays.Mr. Black & Mr. White need the girls' help to build a telekinetic helmet.,5.8
The Stranded,2019,2019,TVMA,47 mn,Adventure, Drama, Mystery,"['Sophon Sakdaphst', '| ', '    Stars:', 'Papangkorn Lerkchaleampote, ', 'Chutawut Phatrakampol, ', 'Oabnth Wwattanawarang, ', 'Chayant Chansangavej']",51,Sunlit promise  and the darkest danger  lies around each bend when new director Lisa meets a powerful producer. But he wants more than she expects.,7.2
The Stranded,2019,2019,TVMA,53 mn,Adventure, Drama, Mystery,"['Sophon Sakdaphst', '| ', '    Stars:', 'Papangkorn Lerkchaleampote, ', 'Chutawut Phatrakampol, ', 'Oabnth Wwattanawarang, ', 'Chayant Chansangavej']",52,"Rocked by a bizarre birth and thirsty for revenge, Lisa commits herself fully to the curse despite hateful visions. Roy unexpectedly steps up to help.",7.2
The Stranded,2019,2019,TVMA,53 mn,Adventure, Drama, Mystery,"['Sophon Sakdaphst', '| ', '    Stars:', 'Papangkorn Lerkchaleampote, ', 'Chutawut Phatrakampol, ', 'Oabnth Wwattanawarang, ', 'Chayant Chansangavej']",50,Explained looks at diamonds and how they have come to mean everything from a status symbol to a sparkling sign of everlasting love. Why do diamonds have the meaning that they do? Why are ...                See full summary »,7.4
The Stranded,2019,2019,TVMA,46 mn,Adventure, Drama, Mystery,"['Sophon Sakdaphst', '| ', '    Stars:', 'Papangkorn Lerkchaleampote, ', 'Chutawut Phatrakampol, ', 'Oabnth Wwattanawarang, ', 'Chayant Chansangavej']",51,"After months of searching for Sue Dearbon, Ralph gets a lead on her whereabouts and finally comes face to face with his missing client. However, Sue refuses to return home to her family, ...                See full summary »",7
The House of Flowers,2018,20182020,TVMA,35 mn,Comedy, Drama,,"['Manolo Caro', '| ', '    Stars:', 'Cecla Suárez, ', 'Aslnn Derbez, ', 'Daro Yazbek Bernal, ', 'Juan Pablo Medna']",296,"Feeling overwhelmed with all the changes since Crisis, Barry conducts an experiment that goes awry and puts him directly in Gorilla Grodd's path; Iris works with Eva to escape the Mirrorverse.",7.5
The Dragon Prnce,2018,2018,TVY7,,Anmaton, Acton, Adventure,"['Vllads Spangsberg', '| ', '    Stars:', 'Rena Anakwe, ', 'Racquel Belmonte, ', 'Paula Burrows, ', 'an James Corlett']",555,Add a Plot,
Vagabond,2019,2019,,,Acton, Mystery, Thrller,"['Yu nsk', '| ', '    Stars:', 'Lee Seungg, ', 'Bae Suzy, ', 'Seongrok Sn, ', 'Moon JeongHee']",119,"Over Niko's objections, Kari dives into a series of grisly crimes that yield more echoes of past cases. Janina grows frustrated with her father.",7.5
Vagabond,2019,2019,,,Acton, Mystery, Thrller,"['Yu nsk', '| ', '    Stars:', 'Lee Seungg, ', 'Bae Suzy, ', 'Seongrok Sn, ', 'Moon JeongHee']",128,"As the team races to track down potential victims, Kari scours the country for news of the killer's daughter. A disturbing video captures a new crime.",7.1
Vagabond,2019,2019,,,Acton, Mystery, Thrller,"['Yu nsk', '| ', '    Stars:', 'Lee Seungg, ', 'Bae Suzy, ', 'Seongrok Sn, ', 'Moon JeongHee']",169,"When a man is murdered inside his room at a retirement home, Kari and team question his three very different sons and his much younger girlfriend.",7.2
Top Gear,2002,2002,TVPG,50 mn,Adventure, Comedy, RealtyTV,"['Bran Klen, ', 'Phl Churchward, ', 'Graham Sherrngton', '| ', '    Stars:', 'Jeremy Clarkson, ', 'Rchard Hammond, ', 'James May, ', 'Ben Collns']",317,"The week's events play out from a different angle, revealing new dynamics within the family. Meanwhile, Kari grapples with his own father issues.",7.1
The Devl Next Door,2019,2019,TVMA,44 mn,Documentary, Crme, Hstory,"['Yoss Bloch, ', 'Danel Svan', '| ', '    Stars:', 'John Demjanjuk, ', 'Pat Buchanan, ', 'Mark Demarno, ', 'John Demjanjuk Jr.']",467,"After another key figure in the case is found dead, Kari revisits a suspicious tragedy in the family's past. Janina interrogates Jarkko on camera.",7
The Devl Next Door,2019,2019,TVMA,44 mn,Documentary, Crme, Hstory,"['Yoss Bloch, ', 'Danel Svan', '| ', '    Stars:', 'John Demjanjuk, ', 'Gustav Borax, ', 'Joseph Cherney, ', 'Dala Dorner']",423,The ritualistic murder of a young swimming instructor draws the team to a conservative religious community teeming with secrets.,7.4
The Devl Next Door,2019,2019,TVMA,52 mn,Documentary, Crme, Hstory,"['Yoss Bloch, ', 'Danel Svan', '| ', '    Stars:', 'John Demjanjuk, ', 'Jerome Brentar, ', 'Pat Buchanan, ', 'John Demjanjuk Jr.']",407,Shocking news and an unsettling encounter stoke tensions in the community. Kari leaps into action after finding Janina's diary.,7.6
The Devl Next Door,2019,2019,TVMA,45 mn,Documentary, Crme, Hstory,"['Yoss Bloch, ', 'Danel Svan', '| ', '    Stars:', 'John Demjanjuk, ', 'John Demjanjuk Jr., ', 'Dala Dorner, ', 'Lawrence Douglas']",394,A mysterious outbreak leaves Kari locked down in a hospital ward  just as he and the team brace for the return of Lasse Maasalo.,7.7
The Devl Next Door,2019,2019,TVMA,47 mn,Documentary, Crme, Hstory,"['Yoss Bloch, ', 'Danel Svan', '| ', '    Stars:', 'John Demjanjuk, ', 'John Cangla, ', 'Joseph Cherney, ', 'John Demjanjuk Jr.']",385,"With the city in crisis, Anneli faces an ultimatum, and Kari must decide just how far he's willing to go to stop his nemesis.",7.9
Johnny Test,2005,20052014,TVY7,23 mn,Anmaton, Acton, Adventure,"['Larry Jacobs', '| ', '    Stars:', 'James Arnold Taylor, ', 'Lous Chrllo, ', 'Maryke Hendrkse, ', 'Ashlegh Ball']",30,Add a Plot,6.5
The Dragon Prnce,2018,2018,TVY7,,Anmaton, Acton, Adventure,"['Vllads Spangsberg', '| ', '    Stars:', 'Rena Anakwe, ', 'Racquel Belmonte, ', 'Paula Burrows, ', 'an James Corlett']",588,Add a Plot,6.7
Unsolved Mysteres,2020,2020,TVMA,39 mn,Documentary, Crme, Mystery,"['Marcus A. Clarke', '| ', '    Stars:', 'Jane Green, ', 'Tom Warner, ', 'Thom Reed, ', 'Nancy Reed']","1,159",Add a Plot,6.5
The Worst Wtch,2017,2017,TVY7,25 mn,Famly, Fantasy,,"['Lndy Heymann', '| ', '    Stars:', 'Lyda Page, ', 'Jenny Rchardson, ', 'Shauna Shm, ', 'Clare Hggns']",30,"3 rounds: cupcakeshighlight a nut, confections feature plums, cake Nutcracker Suite theme featuring the Mouse King and cheese . Guest judge is Jeanine Mason.",6.8
The Worst Wtch,2017,2017,TVY7,,Famly, Fantasy,,"['Lndy Heymann', '| ', '    Stars:', 'Lyda Page, ', 'Ncola Stephenson, ', 'Ntn Ganatra, ', 'Raquel Cassdy']",30,"3 rounds: cupcakesfeature Santa Claus plus two helpers, confections something that can be dipped (inspiration Santa's milk and cookies), cake gingerbread cake featuring Santa's workshop. Guest judge is Tiffani Thiessen.",6.3
The Worst Wtch,2017,2017,TVY7,,Famly, Fantasy,,"['Lndy Heymann', '| ', '    Stars:', 'Jenny Rchardson, ', 'Lyda Page, ', 'Raquel Cassdy, ', 'Clare Hggns']",28,"3 rounds: cupcakesfeature a winter activity and cooling flavors, confections frozen, cake winter wonderland theme featuring warm ingredients. Guest judge is Meryl Davis.",6.5
The Worst Wtch,2017,2017,TVY7,,Famly, Fantasy,,"['Lndy Heymann', '| ', '    Stars:', 'Raquel Cassdy, ', 'Dagny Rollns, ', 'Clare Hggns, ', 'Saorse Addson']",28,"The gang hides out in the Western Air Temple. Zuko tries to convince the gang of his change in heart, but they are very hesitant. Combustion Man/SparkySparky Boom Man attacks again.",8.9
The Boondocks,2005,20052014,TVMA,20 mn,Anmaton, Acton, Comedy,"['Seung Eun Km', '| ', '    Stars:', 'Regna Kng, ', 'John Wtherspoon, ', 'Cedrc Yarbrough, ', 'Gary Anthony Wllams']",300,"Akira keeps her impending move to Los Angeles a secret. In Osaka, she and Haruo spend their time on the eve of the tournament in various arcades.",7.8
The Boondocks,2005,20052014,TVMA,22 mn,Anmaton, Acton, Comedy,"['Seung Eun Km, ', 'Bob Hathcock', '| ', '    Stars:', 'Regna Kng, ', 'John Wtherspoon, ', 'Cedrc Yarbrough, ', 'Gary Anthony Wllams']",324,"Lost in Boro's jungle and astonished by her rampaging plant, Lisa gets an unsavory proposition from Lou. First comes a screening  then the screams.",7.3
Jamtara: Sabka Number Ayega,2020,2020,,23 mn,Crme,,,"['Soumendra Padh', '| ', '    Stars:', 'Amt Sal, ', 'Dbyendu Bhattacharya, ', 'Aksha Pardasany, ', 'Sparsh Srvastav']",102,"If a weird door in the floor opens, why not go down it? As chaos reigns, Lou confronts Lisa. Clues to Boro's past materialize. A new opening appears.",7.5
Johnny Test,2005,20052014,TVY7,23 mn,Anmaton, Acton, Adventure,"['Larry Jacobs', '| ', '    Stars:', 'James Arnold Taylor, ', 'Lous Chrllo, ', 'Maryke Hendrkse, ', 'Ashlegh Ball']",28,You can't go home again: A wild woman reconnects with her family. Lou finds a frantic Mary and eyes a way to get back at Lisa. The prodigal son returns.,7.4
SheRa and the Prncesses of Power,2018,20182020,TVY7,24 mn,Anmaton, Acton, Adventure,"['Chrstna Manrque', '| ', '    Stars:', 'Amee Carrero, ', 'Karen Fukuhara, ', 'AJ Mchalka, ', 'Marcus Scrbner']",983,"Mary goes deeper to realize an uncompromising vision. Boro shares her tale. Lisa perks up. Lou pushes for an ending, but will he get the one he wants?",7.2
SheRa and the Prncesses of Power,2018,20182020,TVY7,24 mn,Anmaton, Acton, Adventure,"['Mandy Clotworthy', '| ', '    Stars:', 'Amee Carrero, ', 'AJ Mchalka, ', 'Dana Davs, ', 'Antony Del Ro']",983,"Lisa tries to finally get answers. She's made a lot of enemies on her way to the top, and she still has scores to settle. Who will make it out alive?",6.5
SheRa and the Prncesses of Power,2018,20182020,TVY7,24 mn,Anmaton, Acton, Adventure,"['Chrstna Manrque', '| ', '    Stars:', 'Amee Carrero, ', 'Karen Fukuhara, ', 'AJ Mchalka, ', 'Marcus Scrbner']","1,031","A desperate Lisa kisses the toad, but bloodsex magic holds the key. Lou and Jonathan have a moment. A savage spirit accomplishes the impossible.",7.3
SheRa and the Prncesses of Power,2018,20182020,TVY7,24 mn,Anmaton, Acton, Adventure,"['Jen Bennett', '| ', '    Stars:', 'Amee Carrero, ', 'Karen Fukuhara, ', 'AJ Mchalka, ', 'Marcus Scrbner']","1,034",Mel grapples with how to honour Mark ahead of the anniversary of his death. Jack's stress leads him to bad decisions. Hope apologises with pie.,7.6
SheRa and the Prncesses of Power,2018,20182020,TVY7,24 mn,Anmaton, Acton, Adventure,"['Chrstna Manrque', '| ', '    Stars:', 'Amee Carrero, ', 'Karen Fukuhara, ', 'AJ Mchalka, ', 'Marcus Scrbner']",992,"When police find a body in the woods, Preacher worries about the implications. Charmaine and Jack work on a birth plan with Mel.",7.5
SheRa and the Prncesses of Power,2018,20182020,TVY7,24 mn,Anmaton, Acton, Adventure,"['Mandy Clotworthy', '| ', '    Stars:', 'Amee Carrero, ', 'Marcus Scrbner, ', 'Zehra Fazal, ', 'Morla Gorrondona']","1,184","While Jack helps Mike zero in on Calvin, Mel and Doc investigate a mysterious outbreak that could be related to food poisoning. Hope learns a secret.",7.6
SheRa and the Prncesses of Power,2018,20182020,TVY7,24 mn,Anmaton, Acton, Adventure,"['Jen Bennett', '| ', '    Stars:', 'Amee Carrero, ', 'Karen Fukuhara, ', 'AJ Mchalka, ', 'Marcus Scrbner']","1,027","Mel searches desperately for Jack, who has stumbled upon disturbing news. Jamie makes Preacher an enticing job offer. Hope questions Doc's loyalty.",7.9
SheRa and the Prncesses of Power,2018,20182020,TVY7,24 mn,Anmaton, Acton, Adventure,"['Mandy Clotworthy', '| ', '    Stars:', 'Amee Carrero, ', 'Karen Fukuhara, ', 'Marcus Scrbner, ', 'Morla Gorrondona']","1,007",Mel tracks down Brady to find out more about Spencer. Hope answers Doc's question. Preacher makes a lifechanging decision.,8.2
SheRa and the Prncesses of Power,2018,20182020,TVY7,24 mn,Anmaton, Acton, Adventure,"['Jen Bennett', '| ', '    Stars:', 'Amee Carrero, ', 'Karen Fukuhara, ', 'AJ Mchalka, ', 'Marcus Scrbner']","1,072",Behind the scenes of The Irishman.,
SheRa and the Prncesses of Power,2018,20182020,TVY7,24 mn,Anmaton, Acton, Adventure,"['Chrstna Manrque', '| ', '    Stars:', 'Amee Carrero, ', 'Karen Fukuhara, ', 'AJ Mchalka, ', 'Marcus Scrbner']","1,106",Reactions at premiere of The Irishman.,
Barbarans,2020,2020,TVMA,48 mn,Acton, Adventure, Drama,"['Barbara Eder', '| ', '    Stars:', 'Laurence Rupp, ', 'Jeanne Goursaud, ', 'Davd Schütter, ', 'Nck von Tempelhoff']",861,"The hunt for two missing women leads authorities to Henry Lee Lucas. In court, he drops a bombshell, setting off a media circus and riveting a nation.",7.2
Barbarans,2020,2020,TVMA,43 mn,Acton, Adventure, Drama,"['Barbara Eder', '| ', '    Stars:', 'Laurence Rupp, ', 'Jeanne Goursaud, ', 'Davd Schütter, ', 'Ronald Zehrfeld']",929,"At Georgetown, Lucas regales visiting officers with stories to clear murder cases. But one Lubbock family will do their own police work to refute him.",7.4
Barbarans,2020,2020,TVMA,41 mn,Acton, Adventure, Drama,"['Barbara Eder', '| ', '    Stars:', 'Laurence Rupp, ', 'Jeanne Goursaud, ', 'Davd Schütter, ', 'Ronald Zehrfeld']",982,"Suspicions about Lucas's confessions crescendo as a frontpage investigative story hits the newsstands, and an ambitious DA takes on the Texas Rangers.",7.5
Barbarans,2020,2020,TVMA,52 mn,Acton, Adventure, Drama,"['Barbara Eder', '| ', '    Stars:', 'Laurence Rupp, ', 'Jeanne Goursaud, ', 'Davd Schütter, ', 'Ronald Zehrfeld']","1,147","As families long for closure, the manipulation continues. Years later, on death row, Lucas steps up the fight for his life. But the lies don't stop.",7.6
